edge_mask_avg_max_init,edge_mask_connected_init,edge_mask_entropy_init,edge_mask_size_init,edge_mask_sparsity_init,explainer,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_acc_cs,fidelity_gnn_prob+,fidelity_gnn_prob-,fidelity_gnn_prob_cs,num_test_final,number_of_edges,topk,topk_values,train_model_single,unfaithfulness
0.6482894974519554,0.14404232804232805,3.486257470185729,39.86666666666667,0.988295165394402,dnx,0.4,0.07,0.56,0.2052,0.0449,0.33777184989594106,15,3406,30,30,hat,0.0289
0.6481200038767512,0.141729986266494,3.510230405865025,42.14,0.987627715795655,dnx,0.32,0.03,0.4812403100775194,0.2258,0.0295,0.366321591942377,100,3406,30,30,hat,0.0345
0.6454534666283999,0.15303534255599474,3.42811860152624,37.48,0.9889958896065767,dnx,0.4,0.04,0.5647058823529412,0.2625,0.0265,0.4134624314458054,50,3406,30,30,hat,0.01
0.6361180721960025,0.14247546099094324,3.48759451682347,41.72573839662447,0.9877493428078028,dnx,0.28,0.05,0.43794433847754466,0.2046,0.0386,0.3373479298634635,474,3406,30,30,hat,0.0289
0.6460098043850769,0.14247546099094324,3.490332515343362,41.72573839662447,0.9877493428078024,dnx,0.3,0.05,0.4529974940564158,0.2104,0.0343,0.34548870746173255,474,3406,30,30,hat,0.0322
0.6463361078600591,0.14247546099094324,3.4893302095631524,41.72573839662447,0.9877493428078025,dnx,0.28,0.06,0.4374918439253556,0.2055,0.0384,0.33864764761953325,474,3406,30,30,hat,0.031
0.6463361078600591,0.14247546099094324,3.4893302095631524,41.72573839662447,0.9877493428078025,dnx,0.28,0.06,0.4374918439253556,0.2055,0.0384,0.33864764761953325,474,3406,1024,30,30,hat,0.031
0.6361180721960025,0.14247546099094324,3.48759451682347,41.72573839662447,0.9877493428078028,dnx,0.28,0.05,0.43794433847754466,0.2046,0.0386,0.3373479298634635,474,3406,123,30,30,hat,0.0289
0.6460098043850769,0.14247546099094324,3.490332515343362,41.72573839662447,0.9877493428078024,dnx,0.3,0.05,0.4529974940564158,0.2104,0.0343,0.34548870746173255,474,3406,14,30,30,hat,0.0322
