edge_mask_avg_max_init,edge_mask_connected_init,edge_mask_entropy_init,edge_mask_size_init,edge_mask_sparsity_init,explainer,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_acc_cs,fidelity_gnn_prob+,fidelity_gnn_prob-,fidelity_gnn_prob_cs,num_test_final,number_of_edges,seed,topk,topk_values,train_model_single,unfaithfulness
0.5769631407402144,0.13157283706631534,3.5260082646059807,41.76,0.9877392836171461,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1357,0.1022,0.23580454236076945,50,3406,14,15,15,hat,0.1747
0.5339108726255684,0.15224537419102638,3.4235018952016727,37.4,0.9890193775689958,hetegnnexplainer,0.24,0.12,0.3771428571428571,0.1834,0.1183,0.3035922534670067,50,3406,123,15,15,hat,0.1154
0.5769631407402144,0.13157283706631534,3.5260082646059807,41.76,0.9877392836171461,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1296,0.1063,0.2264403063847798,50,3406,14,15,15,hat,0.1791
0.5339108726255684,0.15224537419102638,3.4235018952016727,37.4,0.9890193775689958,hetegnnexplainer,0.24,0.12,0.3771428571428571,0.1831,0.12,0.30318928729213385,50,3406,123,15,15,hat,0.1231
