edge_mask_avg_max_init,edge_mask_connected_init,edge_mask_entropy_init,edge_mask_size_init,edge_mask_sparsity_init,explainer,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_acc_cs,fidelity_gnn_prob+,fidelity_gnn_prob-,fidelity_gnn_prob_cs,num_test_final,number_of_edges,topk,topk_values,train_model_single,unfaithfulness
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1944,0.1081,0.3192845515326776,10,3406,15,15,hat,0.0492
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1905,0.1282,0.31261263393929106,10,3406,15,15,hat,0.0648
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1905,0.1282,0.31261263393929106,10,3406,15,15,hat,0.0648
0.5187480401015976,0.1837276612276612,3.057364657396425,25.4,0.9925425719318849,hetegnnexplainer,0.2,0.0,0.3333333333333333,0.1176,0.0724,0.20878648153784782,10,3406,15,15,hat,0.0298
0.5187480401015976,0.1837276612276612,3.057364657396425,25.4,0.9925425719318849,hetegnnexplainer,0.1,0.0,0.18181818181818182,0.1159,0.0788,0.20592640687351677,10,3406,15,15,hat,0.0374
0.5187480401015976,0.1837276612276612,3.057364657396425,25.4,0.9925425719318849,hetegnnexplainer,0.2,0.0,0.3333333333333333,0.1193,0.0658,0.21158285813854988,10,3406,15,15,hat,0.0228
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1944,0.1081,0.3192845515326776,10,3406,15,15,hat,0.0492
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1905,0.1282,0.31261263393929106,10,3406,15,15,hat,0.0648
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1857,0.1014,0.3078012319962558,10,3406,15,15,hat,0.0626
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.2003,0.1348,0.32523268278038153,10,3406,15,15,hat,0.0807
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1944,0.1081,0.3192845515326776,10,3406,15,15,hat,0.0492
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1944,0.1081,0.3192845515326776,10,3406,15,15,hat,0.0492
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1905,0.1282,0.31261263393929106,10,3406,15,15,hat,0.0648
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1925,0.1042,0.3168356585192874,10,3406,15,15,hat,0.05
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1382,0.1024,0.23951514365731447,10,3406,15,15,hat,0.0672
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.2,0.1,0.32727272727272727,0.1069,0.1331,0.190400877678428,10,3406,15,15,hat,0.0894
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1461,0.1008,0.2514011552482143,10,3406,15,15,hat,0.0662
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1382,0.1024,0.23951514365731447,10,3406,15,15,hat,0.0672
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1382,0.1024,0.23951514365731447,10,3406,15,15,hat,0.0672
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1382,0.1003,0.23956005583583875,10,3406,15,15,hat,0.0672
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1382,0.1003,0.23956005583583875,10,3406,15,15,hat,0.0672
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.1,0.3,0.175,0.1331,0.1854,0.22882650515903813,10,3406,15,15,hat,0.149
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1563,0.0989,0.26642071238522197,10,3406,15,15,hat,0.075
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1563,0.0989,0.26642071238522197,10,3406,15,15,hat,0.075
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1731,0.0977,0.29041218963459176,10,3406,15,15,hat,0.0907
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1731,0.0977,0.29041218963459176,10,3406,15,15,hat,0.0907
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.1,0.3,0.175,0.1334,0.2132,0.2281049515340385,10,3406,15,15,hat,0.1894
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.4,0.0,0.5714285714285714,0.1731,0.0977,0.29041218963459176,10,3406,15,15,hat,0.0907
0.44082995497224636,0.14371392496392496,3.427183687976857,38.2,0.9887844979448033,hetegnnexplainer,0.3,0.0,0.46153846153846145,0.1381,0.1003,0.23950494274053014,10,3406,15,15,hat,0.0673
