edge_mask_avg_max_init,edge_mask_connected_init,edge_mask_entropy_init,edge_mask_size_init,edge_mask_sparsity_init,explainer,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_acc_cs,fidelity_gnn_prob+,fidelity_gnn_prob-,fidelity_gnn_prob_cs,num_test_final,number_of_edges,topk,topk_values,train_model_single,unfaithfulness
0.6678875683246683,0.3526951463196969,2.277032008945969,17.40506329113924,0.9948898815939117,cf2,0.01,0.03,0.02087116797224406,0.0106,0.0303,0.02098981302013861,474,3406,30,30,hat,0.0681
0.6714881308302957,0.3526951463196969,2.2765951291896807,17.40506329113924,0.9948898815939121,cf2,0.16,0.19,0.27039151337984796,0.0761,0.0914,0.14044515056431794,474,3406,30,30,hat,0.0861
0.664636431142197,0.35269514631969684,2.2754848500104248,17.40506329113924,0.9948898815939121,cf2,0.2,0.2,0.32050597304563017,0.1293,0.1245,0.22539580980000046,474,3406,30,30,hat,0.1713
